CleanedText;TokenizedText;Words quantity;Class;True class
whenever government promise something free cost honest tax payer strangely freebie becoming common honest tax payer burdened support freebie;['whenever', 'government', 'promise', 'something', 'free', 'cost', 'honest', 'tax', 'payer', 'strangely', 'freebie', 'becoming', 'common', 'honest', 'tax', 'payer', 'burdened', 'support', 'freebie'];19;1;1
let drop case anyone need zara boot hit;['let', 'drop', 'case', 'anyone', 'need', 'zara', 'boot', 'hit'];8;2;2
new single drop 2 week 1 21 2022;['new', 'single', 'drop', '2', 'week', '1', '21', '2022'];8;4;4
game rugby;['game', 'rugby'];2;0;0
truth dare power tord online multiplayer game based popular social game called truth dare next week sharing progress development final launch excited share journey;['truth', 'dare', 'power', 'tord', 'online', 'multiplayer', 'game', 'based', 'popular', 'social', 'game', 'called', 'truth', 'dare', 'next', 'week', 'sharing', 'progress', 'development', 'final', 'launch', 'excited', 'share', 'journey'];24;3;3
furniture fashion;['furniture', 'fashion'];2;2;2
sometimes need end day piano classroom;['sometimes', 'need', 'end', 'day', 'piano', 'classroom'];6;4;4
oh cool fashion angel life;['oh', 'cool', 'fashion', 'angel', 'life'];5;2;2
dunnit time baby join u fun among u figure im doin tonight;['dunnit', 'time', 'baby', 'join', 'u', 'fun', 'among', 'u', 'figure', 'im', 'doin', 'tonight'];12;3;3
human love play piano sing play drum play accordion number 1 dream job musician sometimes play piano;['human', 'love', 'play', 'piano', 'sing', 'play', 'drum', 'play', 'accordion', 'number', '1', 'dream', 'job', 'musician', 'sometimes', 'play', 'piano'];17;4;4
celebrate harlem globetrotter day every january 7 pumped honor one greatest team history basketball;['celebrate', 'harlem', 'globetrotter', 'day', 'every', 'january', '7', 'pumped', 'honor', 'one', 'greatest', 'team', 'history', 'basketball'];14;0;0
favorite sport model elisarose sg;['favorite', 'sport', 'model', 'elisarose', 'sg'];5;0;2
greeting sport industry award;['greeting', 'sport', 'industry', 'award'];4;0;0
soo beautiful dress;['soo', 'beautiful', 'dress'];3;2;2
today worked second environment game;['today', 'worked', 'second', 'environment', 'game'];5;3;3
jan 5 2013 bruno mar 1 billboard hot 100 single chart song locked heaven;['jan', '5', '2013', 'bruno', 'mar', '1', 'billboard', 'hot', '100', 'single', 'chart', 'song', 'locked', 'heaven'];14;4;4
founder knew danger political party replace blind allegiance reasoned thought;['founder', 'knew', 'danger', 'political', 'party', 'replace', 'blind', 'allegiance', 'reasoned', 'thought'];10;1;1
runner around world post photo wearing space runner nfts beautiful location tag u share best one winner get explorer runner role discord credit seafoamserpent run;['runner', 'around', 'world', 'post', 'photo', 'wearing', 'space', 'runner', 'nfts', 'beautiful', 'location', 'tag', 'u', 'share', 'best', 'one', 'winner', 'get', 'explorer', 'runner', 'role', 'discord', 'credit', 'seafoamserpent', 'run'];25;2;2
even month yet community grown much thank youuu;['even', 'month', 'yet', 'community', 'grown', 'much', 'thank', 'youuu'];8;3;3
3 day left enter could win beautiful mulberry twig cast silver;['3', 'day', 'left', 'enter', 'could', 'win', 'beautiful', 'mulberry', 'twig', 'cast', 'silver'];11;2;2
mosaic impossible jacket dolce gabbana unique piece brings real world metaverse together;['mosaic', 'impossible', 'jacket', 'dolce', 'gabbana', 'unique', 'piece', 'brings', 'real', 'world', 'metaverse', 'together'];12;2;2
ai goldfish visualization catch food algorithm look top notch;['ai', 'goldfish', 'visualization', 'catch', 'food', 'algorithm', 'look', 'top', 'notch'];9;3;3
gm music 2earn music2 earn musicy coming;['gm', 'music', '2earn', 'music2', 'earn', 'musicy', 'coming'];7;4;4
find latest replica chanel bag top brand amazing saving;['find', 'latest', 'replica', 'chanel', 'bag', 'top', 'brand', 'amazing', 'saving'];9;2;2
sometimes pretend normal get boring go back see thing differently;['sometimes', 'pretend', 'normal', 'get', 'boring', 'go', 'back', 'see', 'thing', 'differently'];10;2;2
nothing regime stop mass awakening pen stronger knife kill kill twice;['nothing', 'regime', 'stop', 'mass', 'awakening', 'pen', 'stronger', 'knife', 'kill', 'kill', 'twice'];11;1;1
samajwadi party demand removal officer post poll alleging working bjp worker;['samajwadi', 'party', 'demand', 'removal', 'officer', 'post', 'poll', 'alleging', 'working', 'bjp', 'worker'];11;1;1
nehru babasaheb truly wanted socialist non casteist society discarded cast system projected bad constitution 1950;['nehru', 'babasaheb', 'truly', 'wanted', 'socialist', 'non', 'casteist', 'society', 'discarded', 'cast', 'system', 'projected', 'bad', 'constitution', '1950'];15;1;1
song got feeling like;['song', 'got', 'feeling', 'like'];4;4;4
dedicated follower fashion;['dedicated', 'follower', 'fashion'];3;2;2
missing la little extra today;['missing', 'la', 'little', 'extra', 'today'];5;2;2
u 2 new year day live 1983;['u', '2', 'new', 'year', 'day', 'live', '1983'];7;4;4
age empire 2 gold edition pc cd rom game 2010 microsoft game studio 755142110444 ebay;['age', 'empire', '2', 'gold', 'edition', 'pc', 'cd', 'rom', 'game', '2010', 'microsoft', 'game', 'studio', '755142110444', 'ebay'];15;3;3
walk portal transport time;['walk', 'portal', 'transport', 'time'];4;2;2
zendaya stuns black white vintage valentino gown euphoria photo call;['zendaya', 'stuns', 'black', 'white', 'vintage', 'valentino', 'gown', 'euphoria', 'photo', 'call'];10;2;2
great event paris hall fame fia big pleasure fist driver inducted f 1 fiawec hall fame thank;['great', 'event', 'paris', 'hall', 'fame', 'fia', 'big', 'pleasure', 'fist', 'driver', 'inducted', 'f', '1', 'fiawec', 'hall', 'fame', 'thank'];17;0;0
favorite accessory;['favorite', 'accessory'];2;4;4
music power make feel good like nothing else give peace take back really;['music', 'power', 'make', 'feel', 'good', 'like', 'nothing', 'else', 'give', 'peace', 'take', 'back', 'really'];13;4;4
tesla disabled access game screen driving company decided amid investigation u day department transport safety began checking 580 k car game distract driver function even needed;['tesla', 'disabled', 'access', 'game', 'screen', 'driving', 'company', 'decided', 'amid', 'investigation', 'u', 'day', 'department', 'transport', 'safety', 'began', 'checking', '580', 'k', 'car', 'game', 'distract', 'driver', 'function', 'even', 'needed'];26;3;3
good morning hope wonderful week;['good', 'morning', 'hope', 'wonderful', 'week'];5;4;4
check tech demo crimson desert upcoming open world action adventure action rpg developed south korean game studio pearl abyss previously developed mmorpg black desert online;['check', 'tech', 'demo', 'crimson', 'desert', 'upcoming', 'open', 'world', 'action', 'adventure', 'action', 'rpg', 'developed', 'south', 'korean', 'game', 'studio', 'pearl', 'abyss', 'previously', 'developed', 'mmorpg', 'black', 'desert', 'online'];25;3;3
introduce new system style reinterpreted woman line graphic focus;['introduce', 'new', 'system', 'style', 'reinterpreted', 'woman', 'line', 'graphic', 'focus'];9;2;2
collectable quest significantly contributed game time;['collectable', 'quest', 'significantly', 'contributed', 'game', 'time'];6;3;3
fun interesting podcast pop music check star episode;['fun', 'interesting', 'podcast', 'pop', 'music', 'check', 'star', 'episode'];8;4;4
let u get positive vibe fi 2022 global state mind;['let', 'u', 'get', 'positive', 'vibe', 'fi', '2022', 'global', 'state', 'mind'];10;4;4
quraishi question hate politics utter disregard constitution india fringe mainstreamed aggressively;['quraishi', 'question', 'hate', 'politics', 'utter', 'disregard', 'constitution', 'india', 'fringe', 'mainstreamed', 'aggressively'];11;1;1
waiting bus wanted go multiplication square;['waiting', 'bus', 'wanted', 'go', 'multiplication', 'square'];6;3;3
guess song hope understand song;['guess', 'song', 'hope', 'understand', 'song'];5;4;4
cane storm eye logo face franchise 25 year team bright future felt would interesting embrace unique warning flag branding;['cane', 'storm', 'eye', 'logo', 'face', 'franchise', '25', 'year', 'team', 'bright', 'future', 'felt', 'would', 'interesting', 'embrace', 'unique', 'warning', 'flag', 'branding'];19;0;0
activity exuberant keep crossing limit sport exuberant activity crossing limit becomes natural;['activity', 'exuberant', 'keep', 'crossing', 'limit', 'sport', 'exuberant', 'activity', 'crossing', 'limit', 'becomes', 'natural'];12;0;0
excited;['excited'];1;0;0
ok time get together holiday;['ok', 'time', 'get', 'together', 'holiday'];5;3;3
going asking friend;['going', 'asking', 'friend'];3;0;0
adding feature today focusing death state also thinking new enemy movement ability;['adding', 'feature', 'today', 'focusing', 'death', 'state', 'also', 'thinking', 'new', 'enemy', 'movement', 'ability'];12;3;3
great day wearing another liberian designer outfit balinese woman 2 piece suit aw 22 collection happy wednesday forget pray liberia;['great', 'day', 'wearing', 'another', 'liberian', 'designer', 'outfit', 'balinese', 'woman', '2', 'piece', 'suit', 'aw', '22', 'collection', 'happy', 'wednesday', 'forget', 'pray', 'liberia'];20;2;2
anyway whole situation fascinating trainwreck remains entertaining particular event involving dj 0kovic dj0 kovic;['anyway', 'whole', 'situation', 'fascinating', 'trainwreck', 'remains', 'entertaining', 'particular', 'event', 'involving', 'dj', '0kovic', 'dj0', 'kovic'];14;0;0
unpopular opinion brooch need make comeback need rock grandma hand down;['unpopular', 'opinion', 'brooch', 'need', 'make', 'comeback', 'need', 'rock', 'grandma', 'hand', 'down'];11;2;2
2021 remember tiger;['2021', 'remember', 'tiger'];3;0;0
appropriating adivasi art specific warli art quote ranjit hoskote 1996 divorced origin shaped commodity iconography tribal art becomes empty meaning serf adorn;['appropriating', 'adivasi', 'art', 'specific', 'warli', 'art', 'quote', 'ranjit', 'hoskote', '1996', 'divorced', 'origin', 'shaped', 'commodity', 'iconography', 'tribal', 'art', 'becomes', 'empty', 'meaning', 'serf', 'adorn'];22;2;2
unique shop replica clothing;['unique', 'shop', 'replica', 'clothing'];4;2;2
want know work woman community art fashion photography also magazine zine;['want', 'know', 'work', 'woman', 'community', 'art', 'fashion', 'photography', 'also', 'magazine', 'zine'];11;2;2
cry cry cramping;['cry', 'cry', 'cramping'];3;0;0
argentina cancelled football match israel protest israel killing unarmed palestinian israel say anti jewish 2 do argentina suggests nothing anti jewish 2 do standing human right;['argentina', 'cancelled', 'football', 'match', 'israel', 'protest', 'israel', 'killing', 'unarmed', 'palestinian', 'israel', 'say', 'anti', 'jewish', '2', 'do', 'argentina', 'suggests', 'nothing', 'anti', 'jewish', '2', 'do', 'standing', 'human', 'right'];26;0;1
wednesday wylin yall;['wednesday', 'wylin', 'yall'];3;4;4
skirt die;['skirt', 'die'];2;2;2
fab online book launch kajri jain new book god time democracy jan 14 chk super lineup speaker;['fab', 'online', 'book', 'launch', 'kajri', 'jain', 'new', 'book', 'god', 'time', 'democracy', 'jan', '14', 'chk', 'super', 'lineup', 'speaker'];17;1;1
resolution 2022 goal let u know comment;['resolution', '2022', 'goal', 'let', 'u', 'know', 'comment'];7;0;0
dizzy adventurer unreleased sega megadrive dizzy game remake pc get free release;['dizzy', 'adventurer', 'unreleased', 'sega', 'megadrive', 'dizzy', 'game', 'remake', 'pc', 'get', 'free', 'release'];12;3;3
music stop name game abba;['music', 'stop', 'name', 'game', 'abba'];5;4;4
game inspiration could summed 4;['game', 'inspiration', 'could', 'summed', '4'];5;3;3
local church donated two whole drum set student use general music;['local', 'church', 'donated', 'two', 'whole', 'drum', 'set', 'student', 'use', 'general', 'music'];11;4;4
discussing plan band 2022;['discussing', 'plan', 'band', '2022'];4;4;4
new fashion house coming way hope ready;['new', 'fashion', 'house', 'coming', 'way', 'hope', 'ready'];7;2;2
kick weekend five 13 studio stop styling studio personal shopping session;['kick', 'weekend', 'five', '13', 'studio', 'stop', 'styling', 'studio', 'personal', 'shopping', 'session'];11;2;2
hello little studio friend;['hello', 'little', 'studio', 'friend'];4;4;4
custom hoodies;['custom', 'hoodies'];2;2;2
oday went skating lot people cold play long;['oday', 'went', 'skating', 'lot', 'people', 'cold', 'play', 'long'];8;0;0
training mauritius academy sport;['training', 'mauritius', 'academy', 'sport'];4;0;0
everything need know africa cup nation;['everything', 'need', 'know', 'africa', 'cup', 'nation'];6;0;0
vr sex simulator worst embarrassing thing ever seen;['vr', 'sex', 'simulator', 'worst', 'embarrassing', 'thing', 'ever', 'seen'];8;3;3
novak djokovic playing australian open thanks special permit mean vaccinated slap face million australian profit people;['novak', 'djokovic', 'playing', 'australian', 'open', 'thanks', 'special', 'permit', 'mean', 'vaccinated', 'slap', 'face', 'million', 'australian', 'profit', 'people'];16;0;0
u would react real life encounter huggy wuggy;['u', 'would', 'react', 'real', 'life', 'encounter', 'huggy', 'wuggy'];8;3;3
grinding home studio new music coming month;['grinding', 'home', 'studio', 'new', 'music', 'coming', 'month'];7;4;4
true present day india many bhakts destroying idea harmony progress;['true', 'present', 'day', 'india', 'many', 'bhakts', 'destroying', 'idea', 'harmony', 'progress'];10;1;1
cut thrust ash cricket beer reminisce cricket best;['cut', 'thrust', 'ash', 'cricket', 'beer', 'reminisce', 'cricket', 'best'];8;0;0
australia cancelled visa czech tennis player renata voracova held hotel novak djokovic;['australia', 'cancelled', 'visa', 'czech', 'tennis', 'player', 'renata', 'voracova', 'held', 'hotel', 'novak', 'djokovic'];12;0;0
daily music roll music magazine january 2022 edition available;['daily', 'music', 'roll', 'music', 'magazine', 'january', '2022', 'edition', 'available'];9;4;4
susil premajayantha vehicle trying fool;['susil', 'premajayantha', 'vehicle', 'trying', 'fool'];5;1;1
happy finally say signed contract bloomsbury phd thesis becomes book titled woman little paris fashion interwar bucharest 2022 2023;['happy', 'finally', 'say', 'signed', 'contract', 'bloomsbury', 'phd', 'thesis', 'becomes', 'book', 'titled', 'woman', 'little', 'paris', 'fashion', 'interwar', 'bucharest', '2022', '2023'];19;2;2
african cup nation kickoff weekend cameroon best 24 team africa battle gold starting sunday drumming support;['african', 'cup', 'nation', 'kickoff', 'weekend', 'cameroon', 'best', '24', 'team', 'africa', 'battle', 'gold', 'starting', 'sunday', 'drumming', 'support'];16;0;0
arsenal defender pablo mari weighing brazil return;['arsenal', 'defender', 'pablo', 'mari', 'weighing', 'brazil', 'return'];7;0;0
behind number new fair analysis examines biden policy resulted record setting illegal immigration;['behind', 'number', 'new', 'fair', 'analysis', 'examines', 'biden', 'policy', 'resulted', 'record', 'setting', 'illegal', 'immigration'];13;1;1
multiplayer fast paced physic based beat em discover play array weapon power ups animal interactables capable adding chaos battle;['multiplayer', 'fast', 'paced', 'physic', 'based', 'beat', 'em', 'discover', 'play', 'array', 'weapon', 'power', 'ups', 'animal', 'interactables', 'capable', 'adding', 'chaos', 'battle'];19;3;3
check redemption shirt white also available;['check', 'redemption', 'shirt', 'white', 'also', 'available'];6;2;2
manohar parrikar always idol resigning party time joining party accused parrikar rafael;['manohar', 'parrikar', 'always', 'idol', 'resigning', 'party', 'time', 'joining', 'party', 'accused', 'parrikar', 'rafael'];12;1;1
check action packed prototype gameplay footage unreal based project dark fantasy action rpg currently development south korean studio hound 13;['check', 'action', 'packed', 'prototype', 'gameplay', 'footage', 'unreal', 'based', 'project', 'dark', 'fantasy', 'action', 'rpg', 'currently', 'development', 'south', 'korean', 'studio', 'hound', '13'];20;3;3
may gotten hold playing pokémon black also may listened ost sketching;['may', 'gotten', 'hold', 'playing', 'pokémon', 'black', 'also', 'may', 'listened', 'ost', 'sketching'];11;3;3
wanted post commission dewymelo one called chilled dewy melon treat commissioned u missed go check social reply;['wanted', 'post', 'commission', 'dewymelo', 'one', 'called', 'chilled', 'dewy', 'melon', 'treat', 'commissioned', 'u', 'missed', 'go', 'check', 'social', 'reply'];17;4;4
petticoat made cotton silk wool many trimmed lace tuck petticoat knitted multiple petticoat worn desired shape;['petticoat', 'made', 'cotton', 'silk', 'wool', 'many', 'trimmed', 'lace', 'tuck', 'petticoat', 'knitted', 'multiple', 'petticoat', 'worn', 'desired', 'shape'];16;2;2
wish happy new year party popperin 2022 doubling effort support representative future oriented leadership politics sneak peek store;['wish', 'happy', 'new', 'year', 'party', 'popperin', '2022', 'doubling', 'effort', 'support', 'representative', 'future', 'oriented', 'leadership', 'politics', 'sneak', 'peek', 'store'];18;1;1
excited first adventure kratos godofwar one game always envied console player next week finally able let axe fly;['excited', 'first', 'adventure', 'kratos', 'godofwar', 'one', 'game', 'always', 'envied', 'console', 'player', 'next', 'week', 'finally', 'able', 'let', 'axe', 'fly'];18;3;3
action said group create unending resource social service specifically community;['action', 'said', 'group', 'create', 'unending', 'resource', 'social', 'service', 'specifically', 'community'];10;1;1
picture speaks thousand word june 11 17 th men health week check friend family colleague one conversation save life;['picture', 'speaks', 'thousand', 'word', 'june', '11', '17', 'th', 'men', 'health', 'week', 'check', 'friend', 'family', 'colleague', 'one', 'conversation', 'save', 'life'];19;0;0
walked back bolted door fucking happy announce poguetry getting motion hitting road exactly two year rudely interrupted new date added check update;['walked', 'back', 'bolted', 'door', 'fucking', 'happy', 'announce', 'poguetry', 'getting', 'motion', 'hitting', 'road', 'exactly', 'two', 'year', 'rudely', 'interrupted', 'new', 'date', 'added', 'check', 'update'];22;4;4
know first time said 24 page single mention woman sport missing something;['know', 'first', 'time', 'said', '24', 'page', 'single', 'mention', 'woman', 'sport', 'missing', 'something'];12;0;0
follow collection 2020;['follow', 'collection', '2020'];3;2;2
africa top champion league scorer performer;['africa', 'top', 'champion', 'league', 'scorer', 'performer'];6;0;0
silk face mask finest life comfortable breathable make great gift;['silk', 'face', 'mask', 'finest', 'life', 'comfortable', 'breathable', 'make', 'great', 'gift'];10;2;2
american student made feel ashamed history identity;['american', 'student', 'made', 'feel', 'ashamed', 'history', 'identity'];7;2;1
2021 people still denial climate change global warming visible effect planet;['2021', 'people', 'still', 'denial', 'climate', 'change', 'global', 'warming', 'visible', 'effect', 'planet'];11;1;1
going new year sport unfolded begin tracking weekly pick want compete u watch live 6 pm;['going', 'new', 'year', 'sport', 'unfolded', 'begin', 'tracking', 'weekly', 'pick', 'want', 'compete', 'u', 'watch', 'live', '6', 'pm'];16;0;0
apple music apps tv show film available buy electroneum etn check information;['apple', 'music', 'apps', 'tv', 'show', 'film', 'available', 'buy', 'electroneum', 'etn', 'check', 'information'];12;3;4
got opportunity watch onemovie illustrates good cm action taken give good democratic currupted free service people right recall much attracted;['got', 'opportunity', 'watch', 'onemovie', 'illustrates', 'good', 'cm', 'action', 'taken', 'give', 'good', 'democratic', 'currupted', 'free', 'service', 'people', 'right', 'recall', 'much', 'attracted'];20;1;1
need better name like let ensure family especially continue face hardship due covid 19 know resource support service available day maybe could print purple shirt;['need', 'better', 'name', 'like', 'let', 'ensure', 'family', 'especially', 'continue', 'face', 'hardship', 'due', 'covid', '19', 'know', 'resource', 'support', 'service', 'available', 'day', 'maybe', 'could', 'print', 'purple', 'shirt'];25;2;1
trending twitter said veer savarkar using bad word mahatama gandhi wrong applies veer savarkar agree;['trending', 'twitter', 'said', 'veer', 'savarkar', 'using', 'bad', 'word', 'mahatama', 'gandhi', 'wrong', 'applies', 'veer', 'savarkar', 'agree'];15;1;1
international day homophobia biphobia transphobia nobody face discrimination especially sport;['international', 'day', 'homophobia', 'biphobia', 'transphobia', 'nobody', 'face', 'discrimination', 'especially', 'sport'];10;0;0
hexagon fight night around corner champ;['hexagon', 'fight', 'night', 'around', 'corner', 'champ'];6;0;0
wip update reworked scroller stoker move 25 faster key lock test sprite routine;['wip', 'update', 'reworked', 'scroller', 'stoker', 'move', '25', 'faster', 'key', 'lock', 'test', 'sprite', 'routine'];13;3;3
last 30 mn subscribe cyborg mercenary raffle fire cyborg mercenary unique collection made 3 d designer disney marvel roadmap fire play earn project get late;['last', '30', 'mn', 'subscribe', 'cyborg', 'mercenary', 'raffle', 'fire', 'cyborg', 'mercenary', 'unique', 'collection', 'made', '3', 'd', 'designer', 'disney', 'marvel', 'roadmap', 'fire', 'play', 'earn', 'project', 'get', 'late'];25;3;3
know look bit naughty little cryptobiote death stranding made;['know', 'look', 'bit', 'naughty', 'little', 'cryptobiote', 'death', 'stranding', 'made'];9;3;2
got covered song grooving tonight;['got', 'covered', 'song', 'grooving', 'tonight'];5;4;4
many first painting fish mainly related ocean scubadiving changed life many level cannot say deep keep attention feeling ocean also emotional experience;['many', 'first', 'painting', 'fish', 'mainly', 'related', 'ocean', 'scubadiving', 'changed', 'life', 'many', 'level', 'cannot', 'say', 'deep', 'keep', 'attention', 'feeling', 'ocean', 'also', 'emotional', 'experience'];22;0;0
maybe time like song happy new year way;['maybe', 'time', 'like', 'song', 'happy', 'new', 'year', 'way'];8;4;4
one best view galloping ghost arcade largest arcade world 845 game;['one', 'best', 'view', 'galloping', 'ghost', 'arcade', 'largest', 'arcade', 'world', '845', 'game'];11;3;3
believe first time drawing tawna crash;['believe', 'first', 'time', 'drawing', 'tawna', 'crash'];6;3;3
constantly working continue hone craft refine fabrication skill increasingly innovate across sector web 3 x fashion amazing member part designer network mustttt followww space continues heat;['constantly', 'working', 'continue', 'hone', 'craft', 'refine', 'fabrication', 'skill', 'increasingly', 'innovate', 'across', 'sector', 'web', '3', 'x', 'fashion', 'amazing', 'member', 'part', 'designer', 'network', 'mustttt', 'followww', 'space', 'continues', 'heat'];26;2;2
resident evil survivor 2000 fighting virus close personal beaten tyrant first person;['resident', 'evil', 'survivor', '2000', 'fighting', 'virus', 'close', 'personal', 'beaten', 'tyrant', 'first', 'person'];12;3;3
new kickstarter news update little demonstration arclands early game check like;['new', 'kickstarter', 'news', 'update', 'little', 'demonstration', 'arclands', 'early', 'game', 'check', 'like'];11;3;3
cuban government continues punish public criticism independent journalist arrested leadership try indimidate people arrested people discussed politics peaceful march prison tortured;['cuban', 'government', 'continues', 'punish', 'public', 'criticism', 'independent', 'journalist', 'arrested', 'leadership', 'try', 'indimidate', 'people', 'arrested', 'people', 'discussed', 'politics', 'peaceful', 'march', 'prison', 'tortured'];21;1;1
mayo turn tg 4 best 10 minute 2021 may ireland beat dublin good;['mayo', 'turn', 'tg', '4', 'best', '10', 'minute', '2021', 'may', 'ireland', 'beat', 'dublin', 'good'];13;0;0
dance academy usa leading way improving mental health young child santa clara county;['dance', 'academy', 'usa', 'leading', 'way', 'improving', 'mental', 'health', 'young', 'child', 'santa', 'clara', 'county'];13;1;2
tag artist think slept comment;['tag', 'artist', 'think', 'slept', 'comment'];5;4;4
analyzing short sprint like nfl combine 40 yard dash interesting note even fastest athlete approach top speed 90 vmax relatively early sprint based clark et al 2019 jscr;['analyzing', 'short', 'sprint', 'like', 'nfl', 'combine', '40', 'yard', 'dash', 'interesting', 'note', 'even', 'fastest', 'athlete', 'approach', 'top', 'speed', '90', 'vmax', 'relatively', 'early', 'sprint', 'based', 'clark', 'et', 'al', '2019', 'jscr'];28;0;0
game played today hit going bigger number soon;['game', 'played', 'today', 'hit', 'going', 'bigger', 'number', 'soon'];8;0;0
anyone actually believe mobile game ad point;['anyone', 'actually', 'believe', 'mobile', 'game', 'ad', 'point'];7;3;3
musical ear syndrome happens;['musical', 'ear', 'syndrome', 'happens'];4;4;4
released first podcast spotify go check;['released', 'first', 'podcast', 'spotify', 'go', 'check'];6;0;4
preview clowder crop hoodie woman debut month like leave comment sure press notification bell next follow button update new fashion release walk cloud clowder;['preview', 'clowder', 'crop', 'hoodie', 'woman', 'debut', 'month', 'like', 'leave', 'comment', 'sure', 'press', 'notification', 'bell', 'next', 'follow', 'button', 'update', 'new', 'fashion', 'release', 'walk', 'cloud', 'clowder'];24;2;2
destiny 2 xur weapon get ahead assumed bungie buff;['destiny', '2', 'xur', 'weapon', 'get', 'ahead', 'assumed', 'bungie', 'buff'];9;3;3
woman married man trying make living playing;['woman', 'married', 'man', 'trying', 'make', 'living', 'playing'];7;3;3
say cannot rock dress full show link;['say', 'cannot', 'rock', 'dress', 'full', 'show', 'link'];7;4;4
cameraman heavy camera one hand looking mostly backwards seems winner;['cameraman', 'heavy', 'camera', 'one', 'hand', 'looking', 'mostly', 'backwards', 'seems', 'winner'];10;0;0
xcra giveaway alert hey rich ape game discord total prize 30 xrp join discord find info game room;['xcra', 'giveaway', 'alert', 'hey', 'rich', 'ape', 'game', 'discord', 'total', 'prize', '30', 'xrp', 'join', 'discord', 'find', 'info', 'game', 'room'];18;3;3
bit dart new rockstar 13 dart music;['bit', 'dart', 'new', 'rockstar', '13', 'dart', 'music'];7;4;4
added environment footstep sound effect;['added', 'environment', 'footstep', 'sound', 'effect'];5;3;3
level politics student volunteer review politics related book year senior school library provides exciting choice allowing student deepen extend knowledge looking forward finding think;['level', 'politics', 'student', 'volunteer', 'review', 'politics', 'related', 'book', 'year', 'senior', 'school', 'library', 'provides', 'exciting', 'choice', 'allowing', 'student', 'deepen', 'extend', 'knowledge', 'looking', 'forward', 'finding', 'think'];24;1;1
appears discontent amongst establishment bite first;['appears', 'discontent', 'amongst', 'establishment', 'bite', 'first'];6;1;1
tried playing beginning part reine de musette waltz practice new year;['tried', 'playing', 'beginning', 'part', 'reine', 'de', 'musette', 'waltz', 'practice', 'new', 'year'];11;4;4
pharaoh also forced cancel training coronavirus case reported camp;['pharaoh', 'also', 'forced', 'cancel', 'training', 'coronavirus', 'case', 'reported', 'camp'];9;0;0
like outfit;['like', 'outfit'];2;2;2
wow perfect shot swimmer surface tension broken;['wow', 'perfect', 'shot', 'swimmer', 'surface', 'tension', 'broken'];7;0;0
strategic invitation head five central asian country 2022 republic day parade masterstroke;['strategic', 'invitation', 'head', 'five', 'central', 'asian', 'country', '2022', 'republic', 'day', 'parade', 'masterstroke'];12;1;1
seen video;['seen', 'video'];2;4;4
know 23 mp including recently fired state minister susil premajayantha voted 17 th 18 th 19 th 20 th amendment constitution nothing yesmen;['know', '23', 'mp', 'including', 'recently', 'fired', 'state', 'minister', 'susil', 'premajayantha', 'voted', '17', 'th', '18', 'th', '19', 'th', '20', 'th', 'amendment', 'constitution', 'nothing', 'yesmen'];23;1;1
would love hear idea film game book form fiction;['would', 'love', 'hear', 'idea', 'film', 'game', 'book', 'form', 'fiction'];9;3;3
favourite soundtrack ever;['favourite', 'soundtrack', 'ever'];3;0;4
clean ready get loud 1977 gibson le paul custom pretty tough;['clean', 'ready', 'get', 'loud', '1977', 'gibson', 'le', 'paul', 'custom', 'pretty', 'tough'];11;4;4
important u seen heard address issue face every day politically struggle full equality brave get involved politics saying easy however result worth;['important', 'u', 'seen', 'heard', 'address', 'issue', 'face', 'every', 'day', 'politically', 'struggle', 'full', 'equality', 'brave', 'get', 'involved', 'politics', 'saying', 'easy', 'however', 'result', 'worth'];22;1;1
lost weight recenty suddenly wardrobe suit fitted alteration experience going second hand shop sustainable;['lost', 'weight', 'recenty', 'suddenly', 'wardrobe', 'suit', 'fitted', 'alteration', 'experience', 'going', 'second', 'hand', 'shop', 'sustainable'];14;2;2
happy new year starting year sporting fashion yesterday year 3 first badminton lesson really enjoyed challenge trying new sport made great progress lesson;['happy', 'new', 'year', 'starting', 'year', 'sporting', 'fashion', 'yesterday', 'year', '3', 'first', 'badminton', 'lesson', 'really', 'enjoyed', 'challenge', 'trying', 'new', 'sport', 'made', 'great', 'progress', 'lesson'];23;0;0
unique cover moody blue night white satin;['unique', 'cover', 'moody', 'blue', 'night', 'white', 'satin'];7;4;4
four streaming royalty dispute domino going matter;['four', 'streaming', 'royalty', 'dispute', 'domino', 'going', 'matter'];7;4;4
love princess ballgown meet cherie coming u early 2022;['love', 'princess', 'ballgown', 'meet', 'cherie', 'coming', 'u', 'early', '2022'];9;2;2
grace add five star act leotard sparkling performance dress leotard amazing performance time ahead;['grace', 'add', 'five', 'star', 'act', 'leotard', 'sparkling', 'performance', 'dress', 'leotard', 'amazing', 'performance', 'time', 'ahead'];14;0;0
laporta becomes member rfef council;['laporta', 'becomes', 'member', 'rfef', 'council'];5;0;0
best fifa men player 2021 nominee get vote;['best', 'fifa', 'men', 'player', '2021', 'nominee', 'get', 'vote'];8;0;0
incitement ensuing deadly frolic seems democracy yet dream;['incitement', 'ensuing', 'deadly', 'frolic', 'seems', 'democracy', 'yet', 'dream'];8;1;1
need politician want graham hood slow chat graham hood first november 2021 watch full interview;['need', 'politician', 'want', 'graham', 'hood', 'slow', 'chat', 'graham', 'hood', 'first', 'november', '2021', 'watch', 'full', 'interview'];15;1;1
